r1_temp,r1_pressure,r2_temp,r2_pressure,r2_c4yield,r2_c5yield,r2_ron,r2_pin,r2_Hydrogen,r2_n-Butane,r2_i-Butane,r2_n-Pentane,r2_i-Pentane,r2_n-Hexane,r2_2-Mpentane,r2_3-Mpentane,r2_22-Mbutane,r2_23-Mbutane,r2_n-Heptane,r2_2-Mhexane,r2_Cyclopentane,r2_Mcyclopentan,r2_Cyclohexane,r2_Benzene,r2_Ethane,r2_Propane,r2_Methane,r1_charge_heater,process_yield,process_ron,process_Hydrogen,process_Methane,process_Ethane,process_Propane,process_i-Butane,process_n-Butane,process_i-Pentane,process_n-Pentane,process_Cyclopentane,process_22-Mbutane,process_23-Mbutane,process_2-Mpentane,process_3-Mpentane,process_n-Hexane,process_Mcyclopentan,process_Benzene,process_Cyclohexane,process_2-Mhexane,process_n-Heptane,is_valid
156.0,90.0,128.0,90.0,0.005261746313804,0.019203189931909,83.7249106487905,132.57768768678,0.000456233707646,0.0184258602517539,0.0347246707569209,0.0717270629975294,0.32356951434123,0.0466864488312102,0.120091786480862,0.0533095684906369,0.175163766287551,0.0513944200781096,0.0079574661016939,0.0192942041200089,0.0093962507813856,0.0183221939562431,0.0146086729817494,0.0,0.0074064076178204,0.0263106891384195,0.0011547830792291,-1397097.08984122,97.5422210243732,83.1998294958206,7.641777301322529e-18,8.27558105751273e-12,1.07018301420179e-05,0.0188380578032056,0.0326412231323187,0.0177805970818821,0.326197048505742,0.0727914176384113,0.0096094967491627,0.179847681969637,0.0529874735547437,0.123883006287497,0.0550301722065448,0.0482179465271206,0.018924494452654,0.0,0.0150902579061036,0.0199305216038195,0.0082199027427393,False
160.0,60.0,156.0,70.0,0.099590676531644,0.275095012950143,84.3585372501286,135.337883775676,0.000196582948576,0.0237293270490416,0.0378662067957272,0.0676172306123017,0.327679323605382,0.0406682477682479,0.115682707666824,0.0494213931665176,0.1771643451738579,0.0497664751880471,0.007526869897465,0.0197247987302753,0.0093962502317947,0.0202099131002749,0.0125809777726296,0.0,0.0084986431123842,0.0311159241689667,0.0011547830116853,6664274.14703454,96.2031517757934,84.1896609206065,1.75042853751691e-14,3.32817429152378e-08,0.0033614263846363,0.0256247358140594,0.0351542356919553,0.0225747804802785,0.327623949156729,0.0681562783346778,0.0095690036942397,0.181407171584889,0.0512823144331431,0.119329468154332,0.0510935181316915,0.0421867289045586,0.0209927472123977,0.0,0.0131187000881165,0.0206422801771492,0.0078826284753852,False
146.0,90.0,134.0,80.0,0.0217756928812524,0.0709185324999651,83.4536942720745,135.393368202945,0.0010747710447127,0.0113917382561996,0.0205621459660599,0.0675433946148835,0.3277531937355969,0.0472406499227621,0.127129195886391,0.0551726344727825,0.201684751786171,0.0518328488956085,0.0096347601516001,0.0176169108292487,0.0093962510431357,0.0174681438095318,0.0144291636143673,0.0,0.0046649366000131,0.0142497262595374,0.0011547831113977,1612697.22177588,99.035932735029,82.8894067825551,1.37662598256687e-16,4.60131970602082e-11,2.9470527269144e-05,0.0117237768960537,0.019366970395333,0.0109573001206261,0.328535723609341,0.0682338763997142,0.0095498527616898,0.20515530085447,0.052734056398969,0.129340379020459,0.0561325088623851,0.0480626192776349,0.0177720852267413,0.0,0.0146802305803686,0.0179234443472179,0.0098024046757137,False
152.0,60.0,148.0,50.0,0.0880745545086375,0.247322376049967,84.1327732483834,136.60340595556,0.0005619407468031,0.0176842388928065,0.0293448565782962,0.065986265539917,0.3293102922023609,0.0420772346989153,0.121242446655103,0.0516409445433662,0.1933765723048119,0.0519420717839467,0.0078169955149014,0.0194346733558237,0.0093962503155747,0.0175835570289682,0.0120046137948922,0.0,0.0066146909405228,0.0228275720810081,0.0011547830219817,4834252.51062626,97.5649847350813,83.7373969584332,4.1665004844635904e-15,3.90884302974725e-09,0.0017466133335152,0.0191292565748648,0.0274177221776238,0.0168927168951745,0.328848955054882,0.0663727395292322,0.0095362739082305,0.197194692592516,0.0532657221957717,0.124452606306757,0.0531033260360999,0.04336794200759,0.0181337653111786,0.0,0.0123940090955923,0.0200707432021068,0.0080729118700178,False
152.0,70.0,130.0,80.0,0.0092592254310043,0.0323530760911142,83.6517819097712,133.698840504002,0.0006623061267745,0.0159195617585404,0.0295779905584568,0.070154318092723,0.325142261392967,0.0469014797097293,0.122657852209084,0.0540393015405932,0.185005959748341,0.0519258982128287,0.0081441970177973,0.0191074733519144,0.0093962508324185,0.0174987040941509,0.0143389349305733,0.0,0.0064166086393912,0.0219561186982143,0.0011547830855009,-443660.090661791,98.0777900123803,83.0961233334889,1.9875130929086602e-17,1.2573872023158e-11,1.23368372822043e-05,0.0163539068031953,0.02782015675662,0.0153421302043331,0.326819414412936,0.0709858363831496,0.0095829641457826,0.189413610017678,0.053312419559941,0.125962736587674,0.0555078521907647,0.0481822332698896,0.017976774161941,0.0,0.0147309203769128,0.0196298555813696,0.0083668526979573,False
152.0,70.0,154.0,60.0,0.164832730505596,0.452068746558647,84.0201616361463,135.562151298993,0.0005149469506205,0.0183805087117287,0.0294888730676754,0.0672444542437426,0.328052095304173,0.0429857225976054,0.122736404926658,0.0523372040054136,0.18980066071062,0.051936396258627,0.0076718930489034,0.0195797752569038,0.0093962501207937,0.0175485340486321,0.0111424304062761,0.0,0.0067233694670227,0.0233056978765602,0.0011547829980434,6725624.6462327,97.2890198700429,83.7394555780711,4.16783303391606e-14,3.20670454957351e-08,0.0031241832620742,0.0196312175667609,0.0274810353377834,0.0175052293739437,0.326867892780492,0.0675031152761894,0.0095218460288386,0.193316206685956,0.0532132805576786,0.125880838142134,0.0537884846998444,0.0443104039089462,0.0181079091878779,0.0,0.0115262156273057,0.0202766103261841,0.0079454991709035,False
164.0,70.0,139.0,90.0,0.0133604663919903,0.0398608188380154,84.4677081867922,135.714207647988,0.0001842870810186,0.0233363443480816,0.0409780820472265,0.0676098943335031,0.327686683210473,0.0402080284815102,0.111666256431099,0.0487217353003466,0.174757943638787,0.0498124880973878,0.0078495939814272,0.0194020762544232,0.0093962507862637,0.0203461860567182,0.0153760925381195,0.0,0.0088502914607715,0.032662982873015,0.0011547830798286,1390579.24058541,96.5490346625312,84.0484193889194,3.05187723920864e-17,7.942431103336469e-11,0.0001021611634361,0.0255022844201845,0.0382912151357014,0.0224017689038498,0.330233042667879,0.0686534830606192,0.0096276513851663,0.179880508588414,0.0515554301258803,0.11568525795283,0.0505673998162142,0.0418370055858242,0.0211866242471297,0.0,0.0160367307218294,0.0202475654619236,0.0081918706836933,True
156.0,80.0,138.0,70.0,0.0210927566464028,0.0636941274257754,84.1832732540538,135.780167291363,0.0004215712320889,0.0194296196446654,0.0342937758087326,0.0674406551280249,0.327855916659185,0.0423672876783671,0.117164797569266,0.0509926786731339,0.184509767518236,0.0513944440532262,0.0078539917610263,0.0193976780779537,0.0093962506494246,0.0181848359488763,0.0140247964532171,0.0,0.0074804991068298,0.0266366509747351,0.0011547830630113,1455415.6550085,97.3536624407151,83.6921933574676,6.590306411570231e-17,6.547573509348749e-11,6.75995637853679e-05,0.0211028628718366,0.0321326353061123,0.0186610798597988,0.329397448582653,0.0682386932938839,0.0095877434770376,0.189090142798675,0.0529410066191719,0.12079523267889,0.0526474716599161,0.0438095324756269,0.0188097431069718,0.0,0.0145139070375352,0.0200761718812171,0.0081287287214125,False
164.0,80.0,148.0,80.0,0.0363930431379662,0.10336489227642,84.6065506460323,136.656368375074,0.0001704164987299,0.0241572922198637,0.040251869593351,0.0661000953240388,0.329196472309559,0.0387486776594098,0.111820788000611,0.0477900908194091,0.177761437949002,0.0493574472257826,0.0076879308764377,0.0195637386761931,0.0093962505506927,0.0209913699541652,0.0142719074864307,0.0,0.0088625440648633,0.0327168877405831,0.0011547830508773,4109207.9628466,96.2887796781168,84.2981615557526,6.21389796094659e-16,1.97267396908839e-09,0.0014036462320971,0.0265502244458338,0.0374746221772454,0.0230777399757225,0.330548304705849,0.0669037835955887,0.0096042668616635,0.182619698553295,0.0510124774989872,0.115688483030937,0.0495464308612883,0.0402982018903304,0.0218557150699909,0.0,0.0149035836454241,0.0204680814003339,0.0080447380827387,True
154.0,60.0,160.0,70.0,0.239876819648898,0.650751746116651,83.9936987066274,134.219080552044,0.0003452321869236,0.0209975017246934,0.0326916621038567,0.0688829169133719,0.326413626119447,0.0434823073572391,0.121730380836359,0.0522794884315324,0.181001265396583,0.0513002587433395,0.0075035962312078,0.0197480716254501,0.009396249965929,0.0181789584911042,0.010800455825456,0.0,0.0074760717165254,0.026617173351971,0.0011547829790108,8377015.573683,96.6596853462058,83.8506644965172,3.49462074987475e-13,2.76687231889766e-07,0.0042376759903702,0.0224319781574276,0.0304053358175259,0.0199601199075313,0.325082897923074,0.0691366790731924,0.0095260025614669,0.184502406684388,0.05262215122832,0.124994367415519,0.0538011940254688,0.0448993913649052,0.0187966896520853,0.0,0.0112111019964078,0.0205704976304821,0.007821233884255,True
